group_column,group_value,n_obs,auroc,log_loss,brier_score,expected_calibration_error,predicted_positive_rate,balanced_accuracy,f1,model_name,feature_set,task,target,dataset_split,evaluation_slice,rmse,mae
field_zone,backed_up,84,0.5048213272830402,0.7227429615501069,0.2637314704724501,0.10048526296241404,0.8095238095238095,0.4807146908678389,0.6126126126126126,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
pressure_bucket,standard_rush,143,0.528235294117647,0.7046422191190028,0.2550326259464398,0.04402740182063337,0.7692307692307693,0.5323529411764706,0.6486486486486487,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
score_state,one_score,67,0.5485347985347986,0.6861621452307874,0.24623234258512117,0.06889481541470834,0.7313432835820896,0.576007326007326,0.7045454545454546,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
score_state,trailing_big,55,0.49999999999999994,0.7302427372558526,0.26693746056574386,0.11824535206123349,0.7636363636363637,0.5053050397877984,0.5882352941176471,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
qb_location,S,115,0.5690809494826536,0.6913316427560989,0.24848072106971536,0.03215608223030368,0.7217391304347827,0.5569080949482653,0.6620689655172414,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
starting_hash,L,66,0.4808946877912395,0.7331139195191476,0.26935887840179457,0.14334007916908223,0.7878787878787878,0.4739049394221808,0.5432098765432098,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
starting_hash,R,60,0.5977142857142856,0.6829012631670361,0.2437441347172516,0.10732256602053389,0.8166666666666667,0.5828571428571429,0.7380952380952381,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
box_bucket,standard_box,103,0.5448275862068965,0.6885178356416325,0.24764455647914588,0.02032241019205617,0.8058252427184466,0.524904214559387,0.6808510638297872,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
down_bucket,early_down,14162,0.5404510559229152,0.7964928403852527,0.29296469733143843,0.20507108355669848,0.02358423951419291,0.5020823887875779,0.04908835904628331,logistic_regression,full,classification,success,test,all,,
down_bucket,late_down,5954,0.5953339059392347,0.7443155924245392,0.2662346718121554,0.17646800681439595,0.007557944239166946,0.5034137967576923,0.022819885900570498,logistic_regression,full,classification,success,test,all,,
distance_bucket,long,13759,0.5583557733600388,0.7799234659108506,0.28325162898154777,0.19333547482066804,0.012355549095137728,0.5029733008590124,0.03051228520957122,logistic_regression,full,classification,success,test,all,,
distance_bucket,medium,4319,0.5615532698379923,0.779145909546665,0.28608059950916337,0.19789905927831591,0.027321139152581615,0.5005875254884753,0.05282669138090825,logistic_regression,full,classification,success,test,all,,
